"Date","Price","Open","High","Low","Vol.","Change %"
"06/09/1992","304.86","310.23","310.96","303.22","","-1.73%"
"06/08/1992","310.23","313.25","313.38","309.45","","-0.96%"
"06/05/1992","313.25","315.94","317.02","312.82","","-0.85%"
"06/04/1992","315.94","317.30","317.75","315.77","","-0.44%"
"06/03/1992","317.34","317.27","318.85","315.56","","0.03%"
"06/02/1992","317.24","318.98","319.23","316.18","","-0.55%"
"06/01/1992","318.98","315.30","319.00","312.60","","1.17%"
"05/29/1992","315.30","311.71","317.16","311.71","","1.06%"
"05/28/1992","311.98","308.07","312.19","306.66","","1.27%"
"05/27/1992","308.07","305.89","309.05","305.88","","0.71%"
"05/26/1992","305.89","308.38","308.90","305.00","","-0.81%"
"05/22/1992","308.38","307.94","309.86","307.46","","0.14%"
"05/21/1992","307.94","309.55","309.56","306.47","","-0.52%"
"05/20/1992","309.55","306.41","309.81","306.39","","1.02%"
"05/19/1992","306.41","304.57","306.53","303.33","","0.60%"
"05/18/1992","304.57","303.01","306.82","303.01","","0.51%"
"05/15/1992","303.01","304.55","304.55","300.54","","-0.51%"
"05/14/1992","304.55","308.75","309.05","302.74","","-1.36%"
"05/13/1992","308.75","310.04","310.79","308.44","","-0.42%"
"05/12/1992","310.04","311.90","313.36","308.59","","-0.60%"
"05/11/1992","311.90","311.26","313.56","311.19","","0.21%"
"05/08/1992","311.26","312.73","314.17","310.46","","-0.47%"
"05/07/1992","312.73","315.11","315.50","311.77","","-0.76%"
"05/06/1992","315.11","314.77","317.26","314.39","","0.11%"
"05/05/1992","314.77","310.71","315.88","310.44","","1.31%"
"05/04/1992","310.71","307.48","312.26","307.48","","1.05%"
"05/01/1992","307.48","307.86","309.85","304.45","","-0.12%"
"04/30/1992","307.86","302.98","307.89","302.97","","1.61%"
"04/29/1992","302.98","294.62","303.19","294.62","","2.84%"
"04/28/1992","294.62","299.65","299.74","291.36","","-1.68%"
"04/27/1992","299.65","303.81","305.31","299.33","","-1.37%"
"04/24/1992","303.81","307.52","307.88","303.48","","-1.21%"
"04/23/1992","307.52","309.54","312.06","303.06","","-0.65%"
"04/22/1992","309.54","305.62","310.60","304.93","","1.28%"
"04/21/1992","305.62","307.88","309.38","304.24","","-0.73%"
"04/20/1992","307.88","319.24","319.24","305.05","","-3.56%"
"04/16/1992","319.24","326.07","326.10","318.90","","-2.09%"
"04/15/1992","326.07","320.55","326.79","320.55","","1.72%"
"04/14/1992","320.55","317.15","324.94","317.15","","1.07%"
"04/13/1992","317.15","312.99","317.15","312.01","","1.33%"
"04/10/1992","312.99","319.54","322.53","312.67","","-2.05%"
"04/09/1992","319.54","310.85","319.79","310.85","","2.80%"
"04/08/1992","310.85","312.95","312.95","304.71","","-0.67%"
"04/07/1992","312.95","324.55","326.23","312.75","","-3.57%"
"04/06/1992","324.55","316.38","324.98","316.38","","2.58%"
"04/03/1992","316.38","317.67","319.03","314.53","","-0.41%"
"04/02/1992","317.67","323.92","324.81","317.30","","-1.93%"
"04/01/1992","323.92","323.05","324.30","318.79","","0.27%"
"03/31/1992","323.05","322.35","326.31","320.15","","0.22%"
"03/30/1992","322.35","324.32","326.64","321.75","","-0.58%"
"03/27/1992","324.22","333.30","333.30","321.77","","-2.72%"
"03/26/1992","333.30","337.65","339.77","332.44","","-1.29%"
"03/25/1992","337.65","336.94","338.58","334.95","","0.21%"
"03/24/1992","336.94","339.04","341.25","335.24","","-0.62%"
"03/23/1992","339.04","340.87","341.17","338.96","","-0.54%"
"03/20/1992","340.87","342.55","343.06","340.06","","-0.49%"
"03/19/1992","342.55","342.62","344.79","342.37","","-0.02%"
"03/18/1992","342.62","342.92","345.00","342.48","","-0.09%"
"03/17/1992","342.92","338.27","343.37","338.27","","1.37%"
"03/16/1992","338.27","336.47","338.58","334.63","","0.53%"
"03/13/1992","336.47","334.83","338.57","334.83","","0.49%"
"03/12/1992","334.83","335.05","335.63","331.03","","-0.07%"
"03/11/1992","335.05","340.32","340.40","334.46","","-1.55%"
"03/10/1992","340.32","333.31","340.79","333.31","","2.10%"
"03/09/1992","333.31","333.00","335.25","333.00","","0.09%"
"03/06/1992","333.00","337.52","338.26","331.10","","-1.34%"
"03/05/1992","337.52","341.61","341.61","335.91","","-1.20%"
"03/04/1992","341.61","345.70","346.36","341.61","","-1.18%"
"03/03/1992","345.70","346.63","348.39","345.46","","-0.27%"
"03/02/1992","346.63","345.88","347.48","343.86","","0.22%"
"02/28/1992","345.88","347.39","349.31","343.73","","-0.43%"
"02/27/1992","347.39","347.81","350.89","347.28","","-0.12%"
"02/26/1992","347.81","338.33","348.03","338.33","","2.80%"
"02/25/1992","338.33","338.96","339.36","332.98","","-0.19%"
"02/24/1992","338.96","342.39","343.49","337.75","","-1.00%"
"02/21/1992","342.39","345.33","346.66","340.90","","-0.85%"
"02/20/1992","345.33","338.06","346.02","338.06","","2.15%"
"02/19/1992","338.06","338.55","338.60","333.77","","-0.14%"
"02/18/1992","338.55","346.69","347.18","338.55","","-2.35%"
"02/14/1992","346.69","349.81","349.81","346.19","","-0.89%"
"02/13/1992","349.81","355.98","356.28","349.33","","-1.73%"
"02/12/1992","355.98","344.40","355.98","343.48","","3.36%"
"02/11/1992","344.40","345.24","346.25","342.62","","-0.24%"
"02/10/1992","345.24","346.81","346.81","343.28","","-0.45%"
"02/07/1992","346.81","349.07","351.13","344.08","","-0.65%"
